Timestamp, Block Number, Base Fee (Gwei)
2023-12-04T05:08:59.000Z, 18710821, 34.572171284
2023-12-04T05:09:11.000Z, 18710822, 37.291575061
2023-12-04T05:09:23.000Z, 18710823, 36.458424405
2023-12-04T05:09:35.000Z, 18710824, 38.226404298
2023-12-04T05:09:47.000Z, 18710825, 36.874229663
2023-12-04T05:09:59.000Z, 18710826, 37.954898409
2023-12-04T05:10:11.000Z, 18710827, 38.545673044
2023-12-04T05:10:23.000Z, 18710828, 39.028936528
2023-12-04T05:10:35.000Z, 18710829, 40.356516862
2023-12-04T05:10:47.000Z, 18710830, 39.819267032
2023-12-04T05:10:59.000Z, 18710831, 39.692083962
2023-12-04T05:11:11.000Z, 18710832, 40.747643666
2023-12-04T05:11:23.000Z, 18710833, 40.674652412
2023-12-04T05:11:35.000Z, 18710834, 40.781945365
2023-12-04T05:11:47.000Z, 18710835, 42.130050003
2023-12-04T05:11:59.000Z, 18710836, 42.632923408
2023-12-04T05:12:11.000Z, 18710837, 41.927255444
2023-12-04T05:12:23.000Z, 18710838, 40.980944012
2023-12-04T05:12:35.000Z, 18710839, 39.722951633
2023-12-04T05:12:47.000Z, 18710840, 40.490951869
2023-12-04T05:12:59.000Z, 18710841, 41.229173793
2023-12-04T05:13:11.000Z, 18710842, 40.200794168
2023-12-04T05:13:23.000Z, 18710843, 40.562809019
2023-12-04T05:13:35.000Z, 18710844, 35.745521145
2023-12-04T05:13:47.000Z, 18710845, 40.21117127
2023-12-04T05:13:59.000Z, 18710846, 41.590126264
2023-12-04T05:14:11.000Z, 18710847, 39.046786415
2023-12-04T05:14:23.000Z, 18710848, 41.764317474
2023-12-04T05:14:35.000Z, 18710849, 39.75075671
2023-12-04T05:14:47.000Z, 18710850, 40.620587405
2023-12-04T05:14:59.000Z, 18710851, 39.869465354
2023-12-04T05:15:11.000Z, 18710852, 39.359762481
2023-12-04T05:15:23.000Z, 18710853, 38.510657933
2023-12-04T05:15:35.000Z, 18710854, 38.442983154
2023-12-04T05:15:47.000Z, 18710855, 41.81487423
2023-12-04T05:15:59.000Z, 18710856, 42.477586672
2023-12-04T05:16:11.000Z, 18710857, 41.595205074
2023-12-04T05:16:23.000Z, 18710858, 42.980651578
2023-12-04T05:16:35.000Z, 18710859, 42.453177979
2023-12-04T05:16:47.000Z, 18710860, 40.294850274
2023-12-04T05:16:59.000Z, 18710861, 40.392606252
2023-12-04T05:17:11.000Z, 18710862, 39.096875399
2023-12-04T05:17:23.000Z, 18710863, 39.338400582
2023-12-04T05:17:35.000Z, 18710864, 37.790906908
2023-12-04T05:17:47.000Z, 18710865, 37.426261818
